                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.80711,                0.62908,                 1.2554,                 0.8791,                0.86187,                0.89057,                0.70097,                 1.0075,                0.69836,                 1.4992,               0.001486,               0.001486,               0.001486
                    131,                0.79688,                0.62913,                  1.252,                0.88286,                0.84599,                0.88639,                0.70066,                 1.0135,                0.70975,                  1.512,                0.00142,                0.00142,                0.00142
                    132,                0.78807,                0.62828,                 1.2508,                0.87382,                0.86821,                0.89176,                0.69403,                 1.0166,                0.70176,                 1.5112,               0.001354,               0.001354,               0.001354
                    133,                0.79608,                 0.6312,                 1.2461,                0.88289,                0.86508,                0.89238,                 0.7001,                 1.0107,                0.69252,                 1.4988,               0.001288,               0.001288,               0.001288
                    134,                0.78164,                0.62293,                 1.2401,                0.85979,                0.86855,                0.88977,                0.70028,                 1.0134,                0.69258,                  1.519,               0.001222,               0.001222,               0.001222
                    135,                0.78523,                0.62428,                 1.2412,                0.86121,                0.87383,                0.89073,                0.70309,                 1.0049,                0.70259,                 1.5067,               0.001156,               0.001156,               0.001156
                    136,                0.80121,                0.63368,                 1.2534,                0.86049,                0.87473,                0.89297,                0.70545,                 1.0187,                0.69965,                 1.5132,                0.00109,                0.00109,                0.00109
                    137,                0.78742,                0.62731,                 1.2416,                0.88428,                0.86473,                0.89413,                 0.7029,                 1.0156,                0.70346,                  1.503,               0.001024,               0.001024,               0.001024
                    138,                0.78347,                0.62916,                 1.2426,                0.87911,                0.86402,                0.89436,                 0.7075,                 1.0075,                0.69275,                  1.507,               0.000958,               0.000958,               0.000958
                    139,                   0.78,                0.61811,                 1.2386,                0.89559,                0.84739,                0.89451,                0.70622,                 1.0077,                 0.6924,                 1.5085,               0.000892,               0.000892,               0.000892
                    140,                0.78506,                0.61941,                 1.2371,                0.88149,                0.86788,                0.89382,                0.71042,                 1.0127,                 0.6899,                 1.5143,               0.000826,               0.000826,               0.000826
                    141,                0.78316,                0.61416,                 1.2404,                  0.868,                0.86517,                0.89153,                0.70475,                  1.016,                0.69415,                 1.5136,                0.00076,                0.00076,                0.00076
                    142,                0.77438,                0.60399,                 1.2367,                0.86376,                0.87301,                0.89239,                0.70138,                   1.01,                0.70495,                 1.5128,               0.000694,               0.000694,               0.000694
                    143,                0.78013,                0.61383,                 1.2358,                0.86907,                0.86975,                0.89321,                0.70392,                 1.0093,                0.69706,                  1.515,               0.000628,               0.000628,               0.000628
                    144,                0.76985,                0.60428,                 1.2349,                0.86782,                0.86784,                0.89235,                0.70239,                 1.0107,                0.70151,                  1.513,               0.000562,               0.000562,               0.000562
                    145,                0.76643,                0.60889,                 1.2297,                0.86967,                0.86688,                0.89259,                0.70635,                0.99916,                0.68567,                  1.503,               0.000496,               0.000496,               0.000496
                    146,                0.77791,                 0.6049,                 1.2363,                0.86098,                0.87228,                0.89139,                0.70708,                 0.9967,                 0.6907,                 1.4973,                0.00043,                0.00043,                0.00043
                    147,                0.76701,                0.61704,                 1.2295,                0.87153,                 0.8654,                0.89414,                0.70678,                 1.0029,                 0.6906,                 1.5039,               0.000364,               0.000364,               0.000364
                    148,                0.76647,                0.60199,                 1.2361,                0.86217,                0.87114,                0.89321,                0.70653,                 1.0089,                0.69055,                 1.5049,               0.000298,               0.000298,               0.000298
                    149,                0.75159,                0.59867,                 1.2245,                0.87469,                0.86353,                0.89405,                0.70633,                0.99965,                0.68523,                 1.5036,               0.000232,               0.000232,               0.000232
